id,listPrice
RE_015637,306330.6
RE_005176,327007.53
RE_013544,735324.2
RE_016667,586655.1
RE_011479,1.3438368e+06
RE_009732,1.7215384e+07
RE_007693,421770.5
RE_002473,552494.4
RE_016616,257267.42
RE_004627,724057.25
RE_015002,4.832957e+06
RE_012041,121480.66
RE_000529,255853.92
RE_016850,248194.1
RE_004858,4.9979595e+06
RE_000076,387983.62
RE_007065,8.1545155e+06
RE_001527,1.559937e+06
RE_012351,196788.31
RE_002111,303416.12
RE_004003,197927.2
RE_001573,437293.16
RE_009818,714915.75
RE_002028,505918.28
RE_006111,157092.25
RE_004414,183371.72
RE_010742,823639.56
RE_011542,191023.0
RE_010098,252300.78
RE_005411,674623.3
RE_003533,1.1617311e+06
RE_014369,1.1785962e+06
RE_004492,522054.03
RE_002708,788408.6
RE_003059,465179.78
RE_018286,689775.75
RE_007838,394878.28
RE_009152,479243.7
RE_011388,340367.9
RE_002086,684983.1
RE_002264,765012.25
RE_010562,178109.5
RE_005981,1.0004924e+06
RE_014248,355939.66
RE_016378,312945.8
RE_014357,1.4916512e+06
RE_005169,41853.453
RE_007401,106750.555
RE_006851,862975.94
RE_017367,126271.16
RE_003501,55603.992
RE_008593,45218.215
RE_007933,422885.38
RE_002811,1.3109854e+06
RE_007477,7.3014465e+06
RE_013385,753274.6
RE_016675,117211.67
RE_011471,1.02743306e+06
RE_016363,365370.2
RE_016534,67650.43
RE_009273,1.4439171e+06
RE_001984,229750.44
RE_006652,155921.17
RE_010788,615864.5
RE_004021,475997.38
RE_013277,278256.6
RE_014072,213051.28
RE_000838,107394.07
RE_009824,1.3553289e+06
RE_016985,1.555783e+06
RE_003836,464012.28
RE_001877,371856.97
RE_005294,390831.66
RE_010181,657468.4
RE_017487,845175.44
RE_017931,268666.34
RE_004267,135861.8
RE_000996,448749.84
RE_015249,182117.25
RE_000537,84383.31
RE_009660,197402.95
RE_013074,676832.4
RE_006266,2.184767e+06
RE_012669,397728.72
RE_006856,378689.97
RE_009300,398228.97
RE_015608,887140.5
RE_014390,1.2990154e+06
RE_006187,411794.75
RE_015743,169744.92
RE_014170,269161.56
RE_011495,703324.7
RE_012087,1.8585212e+06
RE_013353,448192.97
RE_012217,138641.77
RE_014522,466706.16
RE_007990,438638.5
RE_012516,323461.1
RE_015990,3.3785165e+06
RE_007578,187256.1
RE_016143,283173.53
RE_009945,117579.57
RE_013988,675113.75
RE_016993,160298.22
RE_002447,810878.75
RE_001366,1.8793515e+06
RE_003889,2.0159922e+06
RE_016161,475063.16
RE_011740,559977.6
RE_015773,285904.2
RE_013609,261653.47
RE_014127,509442.47
RE_014322,1.5045566e+06
RE_015088,678845.44
RE_010578,1.121952e+07
RE_013127,2.4765178e+06
RE_002189,136967.08
RE_014506,509628.1
RE_009468,743802.5
RE_018055,389259.7
RE_013711,164634.61
RE_010537,291830.53
RE_010500,2.2335015e+06
RE_008310,950969.0
RE_011212,486587.84
RE_006136,729848.9
RE_008163,610541.7
RE_010217,298343.1
RE_005396,997490.4
RE_003220,438296.84
RE_009502,418276.4
RE_007010,137202.67
RE_017227,376150.97
RE_005661,385872.56
RE_006741,958654.25
RE_006253,594156.6
RE_016406,447766.2
RE_011464,394618.53
RE_012130,302411.38
RE_009956,272481.16
RE_011206,1.6525775e+07
RE_006523,769247.44
